Dataset,City,Model,MAE,MSE,RMSE,R2
Wynajem (Rent),Czestochowa,Random Forest,166.0903988951733,64645.88018837933,254.25554111637237,0.8208091055178325
Wynajem (Rent),Czestochowa,Gradient Boosting,223.9803304762462,80496.24379322404,283.7185996603396,0.7768737329319353
Wynajem (Rent),Czestochowa,KNN,268.3293233082707,136545.6845112782,369.5208850813147,0.6215111732726616
Wynajem (Rent),Czestochowa,SVR,468.7361298672574,344350.30391652073,586.8136875674602,0.04550083015035655
Wynajem (Rent),Gdansk,Linear Regression,425.18980578422946,320660.791916671,566.2691867978258,0.663373285766836
Wynajem (Rent),Gdansk,Random Forest,181.6040931467622,92662.89134334693,304.40580044300555,0.9027233592925151
Wynajem (Rent),Gdansk,Gradient Boosting,334.3679627848348,208584.25466236036,456.71025241651887,0.7810301912245934
Wynajem (Rent),Gdansk,KNN,287.8962447844228,190758.77947148817,436.7594068494555,0.7997432091376391
Wynajem (Rent),Gdansk,SVR,651.7823862291308,928902.9978208995,963.7961391398595,0.02484628030531444
Wynajem (Rent),Gdynia,Linear Regression,593.3115212364231,611606.7970363827,782.052937489773,0.6119050039693126
Wynajem (Rent),Gdynia,Random Forest,239.30298926222557,172999.5949002806,415.9321998839241,0.8902231345016577
Wynajem (Rent),Gdynia,Gradient Boosting,387.2253157475583,279478.71279855445,528.6574626339388,0.8226568271317554
Wynajem (Rent),Gdynia,KNN,377.34343434343435,377578.607003367,614.4742525145923,0.7604075548272117
Wynajem (Rent),Gdynia,SVR,919.7456488306718,1642244.0741159604,1281.5007117110626,-0.042085716695426933
Wynajem (Rent),Katowice,Linear Regression,577.4779819820432,591185.5396189266,768.885908063691,0.4980601396090967
Wynajem (Rent),Katowice,Random Forest,278.8369497272391,244656.24601333097,494.6273809781773,0.7922771892444266
Wynajem (Rent),Katowice,Gradient Boosting,447.1919435834897,354804.1317090162,595.6543726936085,0.6987572861627589
Wynajem (Rent),Katowice,KNN,396.2958801498127,384351.53288389515,619.9609123839141,0.6736703761713665
Wynajem (Rent),Katowice,SVR,758.5754255612823,1090032.2360216244,1044.046089031334,0.0745196022166672
Wynajem (Rent),Krakow,Linear Regression,526.5568945417663,524525.5290738005,724.2413472550435,0.6561973904471864
Wynajem (Rent),Krakow,Random Forest,242.92934058632417,156958.71342368014,396.180152738221,0.8971207076185591
Wynajem (Rent),Krakow,Gradient Boosting,444.11133235128005,375672.59742717445,612.9213631675555,0.7537637118235024
Wynajem (Rent),Krakow,KNN,337.20971180418474,264328.75624161074,514.1291240939486,0.8267445316986106
Wynajem (Rent),Krakow,SVR,684.2215685380212,1165535.902431001,1079.5998807109054,0.23604426749095098
Wynajem (Rent),Lodz,Linear Regression,329.8447519423925,182295.32367531856,426.9605645435168,0.559784193495908
Wynajem (Rent),Lodz,Random Forest,152.96360415536034,60322.645048539845,245.60668771134846,0.8543298790933364
Wynajem (Rent),Lodz,Gradient Boosting,274.70474107902976,130031.925200169,360.5993971156483,0.6859924452849675
Wynajem (Rent),Lodz,KNN,236.74669223394056,117408.90646212848,342.64983067576213,0.7164751382155878
Wynajem (Rent),Lodz,SVR,439.4197505861475,349768.3685285924,591.4121815862372,0.1553619624622239
Wynajem (Rent),Lublin,Linear Regression,404.28420118682226,246744.58428376383,496.73391698550626,0.36388919949788967
Wynajem (Rent),Lublin,Random Forest,183.30832860409802,96061.34422745652,309.93764570870786,0.7523525845513077
Wynajem (Rent),Lublin,Gradient Boosting,292.38443293925064,149876.95126921483,387.1394468007811,0.613615238099678
Wynajem (Rent),Lublin,KNN,277.56197718631176,153986.5539163498,392.41120513607893,0.6030206281421672
Wynajem (Rent),Lublin,SVR,495.3062647260693,363419.0427371423,602.8424692547318,0.06310090304808391
Wynajem (Rent),Poznan,Linear Regression,453.7714214933643,372894.82933660696,610.6511519162204,0.47250474369687123
Wynajem (Rent),Poznan,Random Forest,189.95192730876664,105180.0647749476,324.31476188256926,0.8512127794178721
Wynajem (Rent),Poznan,Gradient Boosting,333.4000808732729,205275.38908845876,453.07327121389403,0.7096184085668923
Wynajem (Rent),Poznan,KNN,303.2709511568123,211070.02293059125,459.42357681184717,0.7014213470276471
Wynajem (Rent),Poznan,SVR,558.0778312883584,683734.6158957252,826.882468006019,0.03279225647382733
Wynajem (Rent),Radom,Linear Regression,263.89221859925317,101798.26049637885,319.05839668684297,0.5382199057487823
Wynajem (Rent),Radom,Random Forest,127.1700543580351,28477.883335131683,168.7539135401952,0.8708178353299064
Wynajem (Rent),Radom,Gradient Boosting,123.82607123745241,27672.026559936312,166.34911048736123,0.8744733851967526
Wynajem (Rent),Radom,KNN,205.19230769230768,79140.38461538461,281.31900862790025,0.6410011910953044
Wynajem (Rent),Radom,SVR,360.63008594847383,218364.13899208378,467.29448851027956,0.009450532915172949
